sample_id,alignment_count,aligned,partially_aligned,relevant_unresolved,internal_unresolved,aligned_paths,runtime_only_paths,instruction_only_paths
BV3-0231,753,215,0,95,443,0,6,4
BV3-0232,753,215,0,95,443,0,6,1
BV3-0233,937,239,1,247,450,0,1,1
BV3-0234,997,256,0,302,439,0,2,1
BV3-0235,1044,258,0,347,439,0,2,1
BV3-0236,877,235,1,208,433,0,2,1
BV3-0237,1004,255,0,311,438,0,2,1
BV3-0238,1480,463,0,564,453,0,1,1
BV3-0239,1004,255,2,309,438,2,39,2
BV3-0240,1004,255,0,311,438,0,2,1
BV3-0241,757,217,0,109,431,0,12,1
BV3-0242,1004,255,0,311,438,0,2,1
BV3-0243,977,252,1,287,437,0,2,1
BV3-0244,1461,441,0,566,454,0,1,3
BV3-0246,1452,412,0,582,458,0,1,1
BV3-0247,973,249,0,287,437,0,2,1
BV3-0248,977,252,0,288,437,0,2,2
BV3-0249,977,252,0,288,437,0,2,1
BV3-0250,1088,304,0,349,435,0,1,1
BV3-0251,1190,320,7,410,453,0,1,1
BV3-0252,1025,259,2,324,440,2,45,1
BV3-0253,1186,324,0,424,438,0,2,1
BV3-0254,904,238,1,231,434,0,2,1
BV3-0255,1093,273,0,380,440,0,2,1
BV3-0256,955,247,0,272,436,0,2,1
BV3-0257,997,273,0,276,448,0,1,3
BV3-0258,1243,334,0,454,455,0,1,1
BV3-0259,1338,393,0,492,453,0,1,1
BV3-0260,1209,326,0,444,439,0,2,1
BV3-0261,978,252,0,289,437,0,2,1
BV3-0262,1211,328,0,443,440,0,2,1
BV3-0263,1173,320,7,408,438,0,2,1
BV3-0264,773,219,0,109,445,0,12,1
BV3-0265,1108,287,2,381,438,2,39,0
BV3-0266,1201,326,0,436,439,0,2,1
BV3-0267,977,252,0,288,437,0,2,1
BV3-0268,1005,255,0,312,438,0,2,1
BV3-0269,940,250,1,240,449,0,2,1
BV3-0270,1812,566,0,786,460,0,1,4
BV3-0271,1338,393,0,492,453,0,1,1
BV3-0272,1190,320,7,410,453,0,1,1
BV3-0273,977,252,0,288,437,0,2,1
BV3-0274,978,252,0,289,437,0,2,1
BV3-0275,1153,308,0,386,459,0,2,1
BV3-0276,1006,256,0,311,439,0,2,1
BV3-0277,1815,588,0,772,455,0,1,1
BV3-0278,1004,255,2,309,438,2,39,1
BV3-0279,978,252,0,289,437,0,2,1
BV3-0280,1277,347,0,448,482,0,2,1
BV3-0281,1005,255,0,312,438,0,2,1
BV3-0282,1004,255,1,310,438,0,2,1
BV3-0283,979,271,0,261,447,0,1,3
BV3-0284,1458,440,0,564,454,0,1,1
BV3-0285,917,242,0,227,448,0,2,1
BV3-0286,972,249,0,286,437,0,2,1
BV3-0287,1170,301,5,424,440,0,2,1
BV3-0288,997,256,0,302,439,0,2,1
BV3-0289,972,249,0,286,437,0,2,1
BV3-0290,1947,624,0,862,461,0,1,1
BV3-0291,1031,258,2,332,439,2,42,1
BV3-0292,975,251,0,286,438,0,2,1
BV3-0293,983,251,0,294,438,0,2,1
BV3-0294,1005,255,0,312,438,0,2,1
BV3-0295,1098,306,0,356,436,0,1,1
BV3-0296,1190,320,7,410,453,0,1,2
BV3-0297,1235,334,0,446,455,0,1,1
BV3-0298,1177,322,0,402,453,0,1,1
BV3-0299,1153,317,7,392,437,0,2,1
BV3-0300,903,243,0,225,435,0,1,1
BV3-0301,757,217,0,109,431,0,12,1
BV3-0302,993,253,0,301,439,0,2,1
BV3-0303,1373,404,0,515,454,0,1,1
BV3-0304,1041,260,2,339,440,2,45,1
BV3-0305,1055,260,0,355,440,0,2,1
BV3-0306,988,254,0,296,438,0,2,1
BV3-0307,1038,260,0,338,440,0,2,1
BV3-0308,1183,322,7,415,439,0,2,1
BV3-0309,913,260,0,208,445,0,11,4
BV3-0310,1154,296,0,404,454,0,1,1
BV3-0311,1512,473,0,585,454,0,1,1
BV3-0312,1015,258,0,317,440,0,2,1
BV3-0313,977,252,0,288,437,0,2,1
BV3-0314,1058,283,5,334,436,0,2,1
BV3-0315,757,217,0,109,431,0,12,1
BV3-0316,1371,422,0,497,452,0,1,1
BV3-0317,1004,255,2,309,438,2,39,1
BV3-0318,988,254,0,296,438,0,2,1
BV3-0319,982,251,0,293,438,0,2,1
BV3-0320,1137,290,0,406,441,0,2,1
BV3-0321,988,254,1,295,438,0,2,1
BV3-0322,1617,504,0,657,456,0,1,3
BV3-0323,1163,317,7,387,452,0,1,1
BV3-0324,1098,291,0,356,451,0,1,1
BV3-0325,1009,254,0,316,439,0,2,1
BV3-0326,877,235,1,208,433,0,2,1
BV3-0327,1003,255,0,310,438,0,2,1
BV3-0328,973,249,0,287,437,0,2,1
BV3-0329,2517,930,0,1131,456,0,48,1
BV3-0330,1026,257,2,328,439,2,42,1
BV3-0331,757,217,0,109,431,0,12,1
BV3-0332,904,238,1,231,434,0,2,1
BV3-0333,1023,257,0,327,439,0,2,1
BV3-0334,1329,375,0,513,441,0,2,1
BV3-0335,1892,607,0,825,460,0,1,3
BV3-0336,1467,424,0,587,456,0,1,1
BV3-0337,1774,575,0,744,455,0,1,1
BV3-0338,1477,426,0,610,441,0,2,1
