sample_id,alignment_count,aligned,partially_aligned,relevant_unresolved,internal_unresolved,aligned_paths,runtime_only_paths,instruction_only_paths
PB-281,979,271,0,261,447,0,1,3
PB-282,1458,440,0,564,454,0,1,1
PB-283,917,242,0,227,448,0,2,1
PB-284,972,249,0,286,437,0,2,1
PB-285,1170,301,5,424,440,0,2,1
PB-286,997,256,0,302,439,0,2,1
PB-287,972,249,0,286,437,0,2,1
PB-288,1947,624,0,862,461,0,1,1
PB-289,1031,258,2,332,439,2,42,1
PB-290,975,251,0,286,438,0,2,1
PB-291,983,251,0,294,438,0,2,1
PB-292,1005,255,0,312,438,0,2,1
PB-293,1098,306,0,356,436,0,1,1
PB-294,1190,320,7,410,453,0,1,2
PB-295,1235,334,0,446,455,0,1,1
PB-296,1177,322,0,402,453,0,1,1
PB-297,1153,317,7,392,437,0,2,1
PB-298,903,243,0,225,435,0,1,1
PB-299,757,217,0,109,431,0,12,1
PB-300,993,253,0,301,439,0,2,1
PB-301,1373,404,0,515,454,0,1,1
PB-302,1041,260,2,339,440,2,45,1
PB-303,1055,260,0,355,440,0,2,1
PB-304,988,254,0,296,438,0,2,1
PB-305,1038,260,0,338,440,0,2,1
PB-306,1183,322,7,415,439,0,2,1
PB-307,913,260,0,208,445,0,11,4
PB-308,1154,296,0,404,454,0,1,1
PB-309,1512,473,0,585,454,0,1,1
PB-310,1015,258,0,317,440,0,2,1
PB-311,977,252,0,288,437,0,2,1
PB-312,1058,283,5,334,436,0,2,1
PB-313,757,217,0,109,431,0,12,1
PB-314,1371,422,0,497,452,0,1,1
PB-315,1004,255,2,309,438,2,39,1
PB-316,988,254,0,296,438,0,2,1
PB-317,982,251,0,293,438,0,2,1
PB-318,1137,290,0,406,441,0,2,1
PB-319,988,254,1,295,438,0,2,1
PB-320,1617,504,0,657,456,0,1,3
PB-321,1163,317,7,387,452,0,1,1
PB-322,1098,291,0,356,451,0,1,1
PB-323,1009,254,0,316,439,0,2,1
PB-324,877,235,1,208,433,0,2,1
PB-325,1003,255,0,310,438,0,2,1
PB-326,973,249,0,287,437,0,2,1
PB-327,2517,930,0,1131,456,0,48,1
PB-328,1026,257,2,328,439,2,42,1
