name,skill_id,skill_root,risk_level,risk_level_name,risk_score,severity_label,evidence_strength,root_cause,root_cause_detail
debug-methodology,mnt_e_dangerous_skills_debug-methodology,/mnt/e/dangerous_skills/debug-methodology,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
deepdive,mnt_e_dangerous_skills_deepdive,/mnt/e/dangerous_skills/deepdive,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
defillama-watchdog,mnt_e_dangerous_skills_defillama-watchdog,/mnt/e/dangerous_skills/defillama-watchdog,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
depresearch,mnt_e_dangerous_skills_depresearch,/mnt/e/dangerous_skills/depresearch,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
dinachi-assistant,mnt_e_dangerous_skills_dinachiui_skills_dinachi-assistant,/mnt/e/dangerous_skills/dinachiui/skills/dinachi-assistant,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
domain-puppy,mnt_e_dangerous_skills_domain-puppy,/mnt/e/dangerous_skills/domain-puppy,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
domain-puppy,mnt_e_dangerous_skills_domain-shark,/mnt/e/dangerous_skills/domain-shark,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
dotenc,mnt_e_dangerous_skills_dotenc_skills_dotenc,/mnt/e/dangerous_skills/dotenc/skills/dotenc,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
drug-discovery-search,mnt_e_dangerous_skills_scientific-skills_skills_drug-discovery-search,/mnt/e/dangerous_skills/scientific-skills/skills/drug-discovery-search,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
drug-labels-search,mnt_e_dangerous_skills_scientific-skills_skills_drug-labels-search,/mnt/e/dangerous_skills/scientific-skills/skills/drug-labels-search,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
drugbank-search,mnt_e_dangerous_skills_scientific-skills_skills_drugbank-search,/mnt/e/dangerous_skills/scientific-skills/skills/drugbank-search,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
eicar-test,mnt_e_dangerous_skills_skill-scanner_evals_test_skills_malicious_eicar-test,/mnt/e/dangerous_skills/skill-scanner/evals/test_skills/malicious/eicar-test,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
eigen-restaking,mnt_e_dangerous_skills_eigen-skills_skills_eigen-restaking,/mnt/e/dangerous_skills/eigen-skills/skills/eigen-restaking,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
eigen-rewards,mnt_e_dangerous_skills_eigen-skills_skills_eigen-rewards,/mnt/e/dangerous_skills/eigen-skills/skills/eigen-rewards,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
elevenlabs-remotion,mnt_e_dangerous_skills_elevenlabs-remotion-skill,/mnt/e/dangerous_skills/elevenlabs-remotion-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
elite-longterm-memory,mnt_e_dangerous_skills_elite-longterm-memory,/mnt/e/dangerous_skills/elite-longterm-memory,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
eternal-memory,mnt_e_dangerous_skills_eternal-memory-skill,/mnt/e/dangerous_skills/eternal-memory-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
excalidraw-skill,mnt_e_dangerous_skills_mcp_excalidraw_skills_excalidraw-skill,/mnt/e/dangerous_skills/mcp_excalidraw/skills/excalidraw-skill,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
expo-build-preflight,mnt_e_dangerous_skills_expo-build-preflight_expo-build-preflight,/mnt/e/dangerous_skills/expo-build-preflight/expo-build-preflight,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
fdk-file-fetcher,mnt_e_dangerous_skills_fdk_file_fetcher,/mnt/e/dangerous_skills/fdk_file_fetcher,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
file-validator,mnt_e_dangerous_skills_skill-scanner_evals_skills_safe-skills-2_file-validator,/mnt/e/dangerous_skills/skill-scanner/evals/skills/safe-skills-2/file-validator,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
frontend-design,mnt_e_dangerous_skills_frontend-design,/mnt/e/dangerous_skills/frontend-design,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
gemini-cli,mnt_e_dangerous_skills_gemini-cli-skill_skills_gemini-cli,/mnt/e/dangerous_skills/gemini-cli-skill/skills/gemini-cli,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
generate-image,mnt_e_dangerous_skills_openrouter-generate-image-skill_skills_generate-image,/mnt/e/dangerous_skills/openrouter-generate-image-skill/skills/generate-image,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
generating-excalidraw-architecture-diagrams,mnt_e_dangerous_skills_agent-skill-excalidraw-diagram-builder,/mnt/e/dangerous_skills/agent-skill-excalidraw-diagram-builder,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
get-biji,mnt_e_dangerous_skills_get-biji,/mnt/e/dangerous_skills/get-biji,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
gh-vet,mnt_e_dangerous_skills_gh-vet,/mnt/e/dangerous_skills/gh-vet,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
github,mnt_e_dangerous_skills_openclaw-github-assistant,/mnt/e/dangerous_skills/openclaw-github-assistant,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
github-trending-daily-report,mnt_e_dangerous_skills_github-trending-daily-report_github-trending-daily-report,/mnt/e/dangerous_skills/github-trending-daily-report/github-trending-daily-report,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
goodnight,mnt_e_dangerous_skills_goodnight-claude,/mnt/e/dangerous_skills/goodnight-claude,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
google-calendar,mnt_e_dangerous_skills_choom_nextjs-app_skills_core_google-calendar,/mnt/e/dangerous_skills/choom/nextjs-app/skills/core/google-calendar,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
google-tasks,mnt_e_dangerous_skills_choom_nextjs-app_skills_core_google-tasks,/mnt/e/dangerous_skills/choom/nextjs-app/skills/core/google-tasks,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
gram,mnt_e_dangerous_skills_gram,/mnt/e/dangerous_skills/gram,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
grok-twitter-search,mnt_e_dangerous_skills_grok-twitter-search,/mnt/e/dangerous_skills/grok-twitter-search,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
habit-tracker,mnt_e_dangerous_skills_choom_nextjs-app_skills_core_habit-tracker,/mnt/e/dangerous_skills/choom/nextjs-app/skills/core/habit-tracker,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
har-debugger,mnt_e_dangerous_skills_har-debugger-skill,/mnt/e/dangerous_skills/har-debugger-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
health,mnt_e_dangerous_skills_health_skills_health,/mnt/e/dangerous_skills/health/skills/health,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
hello-world,mnt_e_dangerous_skills_skill-vettr_test_fixtures_safe-skill,/mnt/e/dangerous_skills/skill-vettr/test/fixtures/safe-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
helo-world,mnt_e_dangerous_skills_skill-vettr_test_fixtures_malicious-skill,/mnt/e/dangerous_skills/skill-vettr/test/fixtures/malicious-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
helper-tool,mnt_e_dangerous_skills_version-demo_skills_helper,/mnt/e/dangerous_skills/version-demo/skills/helper,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
heroui-native,mnt_e_dangerous_skills_heroui_skills_heroui-native,/mnt/e/dangerous_skills/heroui/skills/heroui-native,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
heroui-react,mnt_e_dangerous_skills_heroui_skills_heroui-react,/mnt/e/dangerous_skills/heroui/skills/heroui-react,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
home-assistant,mnt_e_dangerous_skills_choom_nextjs-app_skills_core_home-assistant,/mnt/e/dangerous_skills/choom/nextjs-app/skills/core/home-assistant,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
humanizer,mnt_e_dangerous_skills_humanizer,/mnt/e/dangerous_skills/humanizer,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
iconify-skill,mnt_e_dangerous_skills_iconify-skill,/mnt/e/dangerous_skills/iconify-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
image-analysis,mnt_e_dangerous_skills_choom_nextjs-app_skills_core_image-analysis,/mnt/e/dangerous_skills/choom/nextjs-app/skills/core/image-analysis,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
image-generation,mnt_e_dangerous_skills_choom_nextjs-app_skills_core_image-generation,/mnt/e/dangerous_skills/choom/nextjs-app/skills/core/image-generation,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
inconvo-cli,mnt_e_dangerous_skills_inconvo_packages_cli,/mnt/e/dangerous_skills/inconvo/packages/cli,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
ios-simulator,mnt_e_dangerous_skills_ios-simulator,/mnt/e/dangerous_skills/ios-simulator,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
jailbreak-override,mnt_e_dangerous_skills_skill-scanner_evals_skills_prompt-injection_jailbreak-override,/mnt/e/dangerous_skills/skill-scanner/evals/skills/prompt-injection/jailbreak-override,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
java-code-upgrade,mnt_e_dangerous_skills_java-code-upgrade,/mnt/e/dangerous_skills/java-code-upgrade,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
jskim,mnt_e_dangerous_skills_jskim,/mnt/e/dangerous_skills/jskim,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
kaggle,mnt_e_dangerous_skills_kaggle-skill_skills_kaggle,/mnt/e/dangerous_skills/kaggle-skill/skills/kaggle,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
kata-add-issue,mnt_e_dangerous_skills_kata-skills_skills_kata-add-issue,/mnt/e/dangerous_skills/kata-skills/skills/kata-add-issue,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
kata-add-phase,mnt_e_dangerous_skills_kata-skills_skills_kata-add-phase,/mnt/e/dangerous_skills/kata-skills/skills/kata-add-phase,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
kata-complete-milestone,mnt_e_dangerous_skills_kata-skills_skills_kata-complete-milestone,/mnt/e/dangerous_skills/kata-skills/skills/kata-complete-milestone,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
